ID,Generation,Productivity,Eclosion,Isoline,Treatment,Rescuer,Rescue
38,9,617,None,Iso 5,I,Iso 21,L
39,9,631,None,Iso 23,C,None,C
40,9,491,None,Iso 14,I,Iso 21,L
41,9,754,None,Iso 14,I,Iso 12,H
42,9,675,None,Iso 16,I,Iso 20,L
43,9,892,None,Iso 3,I,Iso 12,H
44,9,698,None,Iso 20,O,KSS,O
45,9,667,None,Iso 16,I,Iso 14,H
46,9,708,None,Iso 12,C,None,C
47,9,887,None,Iso 15,O,KSS,O
48,9,475,None,Iso 14,C,None,C
